repo_name,num
jtleek/datasharing,78997
rdpeng/ProgrammingAssignment2,49047
octocat/Spoon-Knife,46429
rdpeng/ExData_Plotting1,22468
twbs/bootstrap,14761
rdpeng/RepData_PeerAssessment1,14333
udacity/frontend-nanodegree-resume,13074
MyCoolTest/a-terrible-project,12394
angular/angular.js,10484
barryclark/jekyll-now,10363
LarryMad/recipes,9332
jlord/patchwork,7362
Homebrew/homebrew,5913
github/gitignore,5677
TridentSDK/Trident,5586
rdpeng/courses,5585
torvalds/linux,5313
shadowsocks/shadowsocks,5088
mbostock/d3,5037
bcaffo/courses,5014
vhf/free-programming-books,5002
apache/spark,4843
docker/docker,4822
facebook/react-native,4723
Trinea/android-open-project,4574
tensorflow/tensorflow,4513
facebook/react,4503
gdby/NewEBuy,4310
deadlyvipers/dojo_rules,3983
laravel/laravel,3966
udacity/create-your-own-adventure,3955
tastejs/todomvc,3916
rails/rails,3801
NARKOZ/hacker-scripts,3704
HubPress/hubpress.io,3649
Itseez/opencv,3559
AFNetworking/AFNetworking,3550
BVLC/caffe,3539
jquery/jquery,3414
robbyrussell/oh-my-zsh,3371
apple/swift,3284
atom/atom,3252
airbnb/javascript,3252
django/django,3237
spring-projects/spring-boot,3175
aporter/coursera-android,3081
scikit-learn/scikit-learn,3068
FortAwesome/Font-Awesome,3063
tripit/slate,3020
goagent/goagent,2974
spring-projects/spring-framework,2962
daneden/animate.css,2960
mrdoob/three.js,2953
hakimel/reveal.js,2921
yiisoft/yii2,2916
mitsuhiko/flask,2912
udacity/Sunshine-Version-2,2874
google/material-design-lite,2860
nightscout/cgm-remote-monitor,2855
wasabeef/awesome-android-ui,2803
iluwatar/java-design-patterns,2727
sindresorhus/awesome,2723
swirldev/swirl_courses,2648
gabrielecirulli/2048,2647
driftyco/ionic,2601
facebook/flux,2575
angular-ui/bootstrap,2564
google/material-design-icons,2535
baidu-ife/ife,2521
angular/angular-seed,2486
git/git,2478
getify/You-Dont-Know-JS,2448
nostra13/Android-Universal-Image-Loader,2438
caskroom/homebrew-cask,2425
DataScienceSpecialization/courses,2406
TryGhost/Ghost,2399
angular/angular,2397
odoo/odoo,2379
nnnick/Chart.js,2348
SmartThingsCommunity/SmartThingsPublic,2345
jekyll/jekyll,2325
google/iosched,2313
zxing/zxing,2312
bcit-ci/CodeIgniter,2306
borisyankov/DefinitelyTyped,2305
laravel/framework,2301
MakeSchool/FlappyBirdTemplate-Spritebuilder,2296
Dogfalo/materialize,2257
facebook/fresco,2229
diydrones/ardupilot,2209
ecomfe/echarts,2190
google/deepdream,2167
ansible/ansible,2126
Apostolique/Agar.io-bot,2052
wakaleo/game-of-life,2046
mathiasbynens/dotfiles,2038
getlantern/lantern,2036
angular/material,2022
photonstorm/phaser,2018
vinta/awesome-python,2004
